代码,细分行业,财报年度,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收帐款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,调整后净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数
300472,专用机械,2019Q3,20191030,20150611,2.09,0,0,15.76,11.46,0.23,25.83,6.73,1.72,0.43,3.92,1.66,3.9,7.11,3.02,1.84,0.38,0,0.38,0.3,0.25,0.21,2.06,0.11,-0.28,7312,18425,22.57,26.22,-11.7,2.23,230.15,8.48,0.54,0.121,5.49,0,3.41,0.99,0.05,72.69,2.21,38.98,12.55,8.39,0.21,751
000567,多元金融,2019Q3,20191030,19940525,6.41,0,0,54.74,42.73,0,21.94,39.68,0.06,0,10.7,0,0,33.53,2.96,0,1.7,-0.04,1.72,1.53,1.53,1.55,2.59,-1.84,1.25,25843,6076,5.3,100.72,19.46,1.31,-30.42,18.93,0.36,0.239,6.66,0,5.23,0.4,-0.29,78.06,3.59,0,57.53,51.83,0,63
000587,批发业,2019Q3,20191030,19960425,21.24,0,0,278.04,44.3,-1.04,84.44,145.13,1.52,0.05,208.37,36.59,18.08,47.45,11.43,24.5,-22.07,0.06,-22.09,-22.68,-21.38,-21.84,-26.3,-15.24,-0.43,70600,11977,1.93,-1169.66,-88.94,0.77,-2.24,2.99,0,-1.007,2.09,0,2.23,-1.24,-0.72,15.93,-48.27,-114.31,-193.11,-187.06,0,698
603982,汽车配件,2019Q3,20191030,20190522,2,0,0,20.02,14.2,0,29.08,9.56,9.05,0.76,3.65,2.71,2.61,9.79,8.49,6.53,0.42,0,0.44,0.41,0.41,0.38,2.18,1.35,1.75,23036,2171,3.7,0,0,2.4,25.24,4.01,0,0.24,7.1,0,4.89,1.09,0.68,70.92,2.87,23.13,4.94,4.8,0.54,1907
300141,电气设备,2019Q3,20191030,20101112,2.55,0,0,15.76,7.13,0.16,53.71,13.95,1.31,0.07,7.86,3.35,6.28,2.43,4.05,3.26,0.03,0,0.03,0.02,0.02,0,2.06,-0.57,0.41,17692,5965,4.03,635.24,-14.23,2.42,-30.41,4.26,0.21,0.009,2.79,0,0.95,0.81,-0.22,45.27,0.33,19.43,0.76,0.58,0.15,393
603506,房产服务,2019Q3,20191030,20180201,1.34,0,0,15.11,6.95,0.14,53.07,12.5,0.38,0.01,8.01,0.02,3.69,3.13,9.02,6.86,1.25,0.24,1.27,0.92,0.87,0.66,2.23,0.41,-1.27,7414,4523,8.86,31.41,22.27,3.78,64.46,2.91,1.11,0.646,5.18,0,2.33,1.66,0.3,45.99,12.46,23.94,13.85,9.6,0.01,7515
002761,纺织,2019Q3,20191030,20150610,3.47,0,0,8.64,6.87,0.15,18.62,4.86,3.04,0.38,1.44,2.95,0.44,0.13,5.49,3.58,-0.03,0,-0.03,-0.05,-0.03,-0.04,2.92,-0.93,-0.87,23746,4837,4.97,-108.51,-9.86,5.19,-38.35,6.5,0.11,-0.007,1.98,0,0.04,0.84,-0.27,79.59,-0.37,34.78,-0.52,-0.46,0.16,1223
600302,纺织机械,2019Q3,20191030,20001213,3.46,0,0,15.61,11.66,0.79,20.29,12.17,1.81,0.32,2.93,5,3.13,3.47,4.19,3.32,-0.75,0.06,-0.74,-0.72,-0.72,-0.82,2.42,-1.04,-1.32,17628,11233,4.86,-116.81,-19.53,1.29,-14.41,3.58,0,-0.21,3.37,0,1,0.7,-0.3,74.67,-6.22,20.74,-18.03,-17.31,0.27,1796
002364,电气设备,2019Q3,20191030,20100305,5.64,0,0,24.57,21.21,0.14,13.12,19.48,1.99,0.67,3.18,3.59,7.38,10.53,6.22,3.87,0.67,-0.02,0.68,0.59,0.62,0.56,6.82,-0.31,-3.75,32296,9459,11.74,-29.93,7.23,3.3,-227.27,11.24,0.73,0.111,3.76,0,1.87,1.21,-0.05,86.32,2.94,37.73,10.84,10.03,0.7,1783
601038,农用机械,2019Q3,20191030,20120808,9.86,0,3.92,117.87,40.78,6.55,59.85,66.54,29.2,8.2,65.55,9.92,10.42,20.99,51.24,43.7,0.82,0.56,1.07,0.75,0.7,-0.34,5.38,1.22,-6.4,38635,4742,3.02,117.68,6.02,1.54,51.34,1.22,0,0.071,4.14,0,2.13,0.55,0.12,34.59,1.72,14.72,1.6,1.37,2.43,8488
603681,化工原料,2019Q3,20191030,20190326,1.67,0,0,17.89,13.25,0,25.95,12.18,4.66,0.23,4.13,2.87,3.26,6.65,15.04,12.37,1.23,-0.02,1.26,1.08,1.08,1.18,4.57,1.19,1.72,23305,1787,4.14,2.57,21.85,2.92,32.59,2.57,0.97,0.7,7.95,0,3.99,2.75,0.71,74.05,8.13,17.81,8.18,7.16,0.62,1643
600791,全国地产,2019Q3,20191030,19970130,4.53,0,0,80.52,17.08,16.13,58.75,73.88,0.15,0.01,23.74,64.77,0.02,1.77,8.11,6.09,0.77,0.16,0.83,0.44,0.25,0.22,9.24,-15.82,-1.52,26203,9439,3.29,-77.64,52.55,0.93,-1,1.95,0.43,0.055,3.77,0,0.39,2.04,-3.49,21.21,1.47,24.89,9.54,3.09,0,163
600621,证券,2019Q3,20191030,19921202,10.61,0,0,217.67,62.32,3.85,69.6,205.71,0.69,0.44,131.56,0,0.72,18.41,1.1,0.61,0.64,1.91,0.69,0.41,0.86,0.79,30.79,25.27,23.26,61136,6473,9.04,119.49,28.43,2.38,5.87,135.11,0.05,0.081,5.87,0,1.74,2.9,2.38,28.63,1.37,44.25,58.69,78.07,0,1630
300545,专用机械,2019Q3,20191030,20160928,1.44,0,0,12.4,6.43,0,48.16,9.17,0.18,1.76,5.93,3.55,2.26,1.82,4.92,3.35,0.66,-0.02,0.67,0.57,0.57,0.54,2.92,0.97,0.78,16191,3003,10.04,-19.82,-0.5,7.5,49.44,9.8,0.28,0.392,4.46,0,1.26,2.03,0.68,51.84,8.79,31.92,13.35,11.49,0.46,1061
600195,饲料,2019Q3,20191030,19990107,8.42,0,0,58.28,41.39,5.12,20.21,24.17,13.81,6.34,11.2,8.14,7.87,6.29,29.55,21.27,3.41,1.47,3.46,3.02,2.72,2.67,23.67,-3.01,-4.6,31500,13395,15.77,-19.58,-7.47,2.4,-32.98,3.36,1.38,0.323,4.91,0,0.75,2.81,-0.36,71.01,6.57,28,11.53,9.2,0.93,4236
600643,多元金融,2019Q3,20191030,19930426,16.22,0,0,287.01,104.94,1.09,63.06,84.25,52.14,0.35,84.12,0.07,17.19,40.45,12.02,7.49,15.45,3.17,14.01,10.21,10.21,10.71,41.72,11.99,-0.52,66324,12229,11.12,25.04,179.12,1.4,12.29,12.26,1.24,0.63,6.47,0,2.49,2.57,0.74,36.56,9.73,37.68,128.49,84.95,0,620
300385,环境保护,2019Q3,20191030,20140626,2.08,0,0,31.51,12.12,1.38,57.14,16.84,5.7,1.1,13.05,5.07,6.73,5.13,8.72,6.73,0.9,0.33,0.9,0.79,0.83,0.51,4.36,-1.12,-1.23,10407,7156,8.11,67.55,35.39,1.95,-21.12,2.71,0.36,0.397,5.82,0,2.46,2.09,-0.54,38.47,6.81,22.84,10.38,9.47,0.37,581
688369,软件服务,2019Q3,20191030,20191031,0.77,0,0,6.87,3.49,0.06,48.29,6.08,0.17,0,3.29,0.07,0.98,1.47,3.82,0.85,0.41,0.02,0.41,0.36,0.34,0.31,1.07,-1.3,-1.61,18395,960,6.14,0,0,4.14,-38.02,12.9,0,0.435,15.45,15.45,1.91,1.39,-1.68,50.84,9.61,77.85,10.62,8.78,0.61,1649
600770,综合类,2019Q3,20191030,19961120,13,0,0,58.76,34.73,12.11,20.28,23.69,11.64,1.66,10.73,0.88,2.31,22.26,3.6,2.59,0.54,0.4,0.54,0.3,0.16,-0.02,0.14,0.33,0.6,76440,9500,4.92,-81.03,-2.61,1.94,205.94,18.68,0,0.012,2.67,0,1.71,0.01,0.03,59.1,0.46,28.2,15,4.48,0.21,756
300210,专用机械,2019Q3,20191030,20110426,4.84,0,0,21.6,11.34,0.07,47.18,11.35,2.87,0.92,9.45,4.21,4.08,1.96,1.67,1.31,-0.6,0,-0.6,-0.6,-0.59,-0.62,4.07,0.19,-0.05,16589,11776,3.64,-335.33,-50.14,1.32,79.32,8.96,0,-0.122,2.34,0,0.4,0.84,0.04,52.52,-5.22,21.34,-35.85,-35.45,0.18,653
300137,环境保护,2019Q3,20191030,20101105,5.51,0,0,24,19.75,0.47,15.78,17.76,2.58,0.23,3.71,4.63,6.02,4.71,9.56,4.87,1.99,0.01,2.05,1.75,1.76,1.71,8.91,0.51,-1.13,56277,8029,6.34,19.79,16.56,2.2,85.43,4.55,0,0.32,3.58,0,0.86,1.62,0.09,82.27,8.93,49.08,20.84,18.44,0.35,1767
300786,环境保护,2019Q3,20191030,20190723,0.53,0,0,9.35,7.47,0.03,19.77,7.85,1.2,0.09,1.83,2.06,1.88,4.07,2.73,1.63,0.61,0,0.61,0.52,0.51,0.5,2.66,0.09,2.78,11974,1115,5.62,0,0,3.6,295.98,9.85,0,1.2,14,0,7.62,4.99,0.17,79.92,6.88,40.45,22.16,18.83,0.11,558
600206,半导体,2019Q3,20191030,19990319,8.47,0,0,36.31,30.27,1.7,11.98,25.25,3.65,0.34,2.93,7.73,4.08,14.7,72.16,69.4,0.87,0.24,0.95,0.8,0.75,0.43,6.92,-4.34,-3.51,83432,6696,9,10.32,123.12,3.76,-26.23,1.58,0.04,0.089,3.57,0,1.74,0.82,-0.51,83.34,2.48,3.82,1.2,1.04,0.75,1217
603256,玻璃,2019Q3,20191030,20190719,8.78,0,0,18.84,14.02,0,25.56,12.87,2.44,1.05,4.78,1.07,2.01,2.94,4.98,3.18,0.93,0.01,0.97,0.81,0.81,0.77,1.93,1.27,2.8,34734,2528,3.48,0,0,8.62,95.52,24.27,0.68,0.1,1.6,0,0.34,0.22,0.14,74.44,5.78,36.1,18.71,16.27,0.23,647
603603,环境保护,2019Q3,20191030,20170217,4.18,0,0,126.96,14.4,7.83,82.48,45.35,1.83,22.88,70.79,10.99,17.28,5.68,16.69,14.79,-2.89,0.4,-2.9,-2.48,-2.4,-2.79,4.13,2.72,0.48,22223,4972,4.07,-251.06,-42.85,2.37,12.57,2.05,1.1,-0.576,3.45,0,1.36,0.99,0.65,11.35,-16.7,11.36,-17.33,-14.41,0.45,2149
603938,化工原料,2019Q3,20191030,20170628,1.5,0,0,12.54,11.27,0.15,8.99,7.1,2.63,1.29,0.74,0.65,0.65,3.88,8.91,6.42,1.01,0.04,1.03,0.87,0.88,0.8,5.08,0.74,0.6,11625,4369,11.32,0.45,7.37,3.45,52.51,4.37,0.58,0.583,7.5,0,2.59,3.38,0.49,89.81,7.77,27.89,11.29,9.83,0.34,719
601236,证券,2019Q3,20191030,20190705,36.33,0,0,408.34,130.71,2.4,67.4,0,0.91,0.81,0,0,0,55.32,12.9,0,7.11,8.65,7.1,5.38,5.3,5.29,21.36,-39.67,16.11,109994,3309,5.98,0,0,5.02,-16.54,50.88,0,0.16,3.6,0,1.52,0.59,-1.09,32.01,4.05,0,55.14,41.07,0,1115
603477,纺织,2019Q3,20191030,20171218,2.4,0,0,14.05,8.49,0.26,37.8,9.74,3.66,0.43,5.29,5.05,1.87,3.74,4.17,3.42,0.42,0,0.43,0.37,0.37,0.36,2.11,0.11,-0.74,18227,6227,6.42,-23.69,-12.66,2.92,231.88,5.94,0.72,0.153,3.54,0,1.56,0.88,0.04,60.38,4.32,17.89,10.17,8.79,0.03,1333
600615,小金属,2019Q3,20191030,19920910,1.88,0,0,6.74,6.3,0.01,6.33,6.18,0.31,0.03,0.27,0.09,0.24,4.36,0.42,0.4,0.4,0.48,0.4,0.31,0.32,-0.06,-0.53,-0.05,5.09,11156,11180,11,90.99,-31.38,2.94,-388.19,43.63,0,0.168,3.35,0,2.32,-0.28,-0.03,93.49,5,5.2,95.39,74.38,0,163
002126,汽车配件,2019Q3,20191030,20070418,7.92,0,0,80.76,37.31,3.91,48.97,44.68,18.51,4.43,35.97,9.72,15.87,10.39,38.57,29.3,3.1,0.43,3.07,2.76,2.56,1.63,17.72,3.42,-1.09,33092,19497,16.2,-9.84,1.13,1.78,19.23,1.71,0.56,0.323,4.66,4.66,1.31,2.24,0.43,46.2,6.86,24.04,8.05,6.63,1.75,6564
000758,铅锌,2019Q3,20191030,19970416,19.69,0,0,251.05,51.92,41.11,62.94,146.71,32.48,35.07,107.92,46.42,30.99,9.55,86.7,75.56,1.25,0.47,1.35,0.37,-1.12,-1.35,20.7,6.16,-1.85,127288,10249,5.12,-165.81,-19.29,1.9,15.98,1.14,0.28,-0.057,2.64,0,0.48,1.05,0.31,20.68,-2.15,12.85,1.44,-1.29,0.05,6855
688116,化工原料,2019Q3,20191030,20190925,2.32,0,0,17.69,15.58,0.09,11.4,13.5,2.43,0.99,1.42,0.71,1.03,12.13,3.01,1.55,1.04,0.01,1.04,0.91,0.91,0.82,1.1,0.68,8.71,29276,1803,7.72,0,0,6.37,146.05,32.99,0,0.52,6.72,0,5.23,0.48,0.29,88.06,5.84,48.6,34.61,30.25,0.16,208
600536,软件服务,2019Q3,20191030,20020517,4.95,0,0,55,19.26,3.55,58.53,43.09,4.81,1.94,26.97,12.87,14.46,9.76,31.46,20.99,-2.98,-0.24,-2.8,-2.79,-2.45,-2.53,4.23,-5.8,-5.59,79728,3590,25.95,-3.38,23.81,18.57,-61.68,11.37,0.09,-0.496,3.89,0,1.97,0.86,-1.17,35.01,-12.75,33.28,-9.49,-7.8,8.59,6669
002739,影视音像,2019Q3,20191030,20150122,20.78,0,0,320.79,195.17,2.99,38.23,93.57,27.73,9.67,94.45,18.74,26.18,80.95,115.94,85.04,9.52,0.04,9.55,8.3,8.29,7.72,86.81,10.44,1.15,111549,6177,10.68,-57.25,-7.45,1.84,34.43,3.1,0,0.44,9.39,0,3.89,4.18,0.5,60.84,4.25,26.66,8.21,7.15,0.3,18036
300270,通信设备,2019Q3,20191030,20111012,3.03,0,0,14.47,10.34,0,28.5,9.07,2.49,0.34,3.82,1.45,4.88,5.06,2.02,1.22,0.03,0.04,0.03,0.04,0.04,-0.05,1.95,-1,0.32,24876,6274,5.31,145.34,-6.23,2.48,-25.54,12.69,0,0.014,3.42,0,1.67,0.64,-0.33,71.47,0.4,39.45,1.72,2.07,0.3,361
600515,全国地产,2019Q3,20191030,20020806,39.08,0,0,915.59,310.07,59.03,59.69,534,69.51,17.01,371.95,310.06,43.86,217.92,64.44,40.45,8.51,-1.27,8.93,4.26,5.54,5.13,52.17,8.73,1.73,32503,46995,23.26,-55.08,-3.02,0.62,22.16,3,0,0.142,7.94,0,5.58,1.34,0.22,33.87,1.79,37.24,13.21,8.6,0,9851
000017,文教休闲,2019Q3,20191030,19920331,5.51,2.48,0,0.69,0.15,0.02,75.3,0.62,0.04,0.01,0.52,0.03,0.41,6.28,0.63,0.57,0,0,0,0,0,0,-11.97,-0.07,-0.08,53992,9035,3.61,-77.76,-37.93,151.6,-301.38,35.09,0,0,0.03,0,1.14,-2.17,-0.01,21.21,1.66,8.6,-0.3,0.38,0,53
688366,生物制药,2019Q3,20191030,20191030,1.78,0,0.4,45.4,37.94,2.61,10.67,25.62,5.17,6.17,3.32,2.52,3.5,17.7,11.45,2.59,3.22,0.08,3.21,2.72,2.51,2.4,17.29,2.01,-0.68,0,0,0,0,0,3.32,88.14,15.45,0,1.412,29.93,29.93,9.95,9.72,1.13,83.58,6.62,77.4,28.1,21.93,0.79,1332
000823,元器件,2019Q3,20191030,19971008,5.37,0,0,55.17,34.6,4.02,29.98,33.14,18.1,1.11,16.17,6.97,14.6,14.25,35.51,27.65,3.05,0.03,3.03,2.51,2.05,1.92,12.63,5.62,1.02,52590,7115,9.61,12.76,-2.3,2.09,12.89,2.04,0.69,0.382,6.44,0,2.65,2.35,1.05,62.73,5.93,22.16,8.58,5.78,1.56,6811
300475,专用机械,2019Q3,20191030,20150610,3,0,0,14.69,12.73,0.37,10.81,12.73,1.24,0.35,1.41,0.56,0.5,4.34,2.15,1.38,0.59,0.24,0.59,0.51,0.54,0.28,5.82,0.45,0.22,11858,7333,8.56,119.61,6.4,2.75,77.04,16.3,0.18,0.181,4.24,0,1.45,1.94,0.15,86.65,4.27,35.59,27.52,25.25,0.12,757
603919,白酒,2019Q3,20191030,20160310,3.9,0,0,31.47,24.33,0,22.69,13.93,11.31,1.68,6.1,7.7,0.12,9.88,11.06,4.42,2.15,0,2.1,1.63,1.63,1.63,9.39,2.88,3.28,28302,3201,5.32,1.29,14.64,2.67,22.56,5.87,1.25,0.43,6.24,0,2.53,2.41,0.74,77.31,6.68,60.04,19.44,14.69,0.1,2142
600122,其他商业,2019Q3,20191030,19980420,11.58,0,0,156.06,58.09,6.2,58.81,116.21,5.43,0.46,79.17,28.56,18.02,20.56,29.14,27.24,-6.58,0.64,-6.59,-6.55,-6.46,-6.46,3.18,-10.28,-3.89,92824,8856,1.94,-81.68,-76.12,0.44,-2.47,0.87,0,-0.558,5.02,0,1.77,0.27,-0.89,37.22,-11.13,6.5,-22.58,-22.19,0.24,2583
600695,多元金融,2019Q3,20191030,19931122,7.11,3.45,0,8.9,7.29,0.05,17.53,5.08,0.01,0.2,1.05,0,0.1,3.93,0.36,0.05,0.48,0.28,0.47,0.44,0.45,0.26,-4.69,-0.15,0.12,72894,7718,5.71,814.75,12.77,7.22,-349.87,144.79,0,0.063,1.03,0,0.55,-0.66,-0.02,81.95,6.11,85.49,132.5,122.58,0,47
300328,铝,2019Q3,20191030,20120619,4.6,0,0,19.55,12.65,1.55,27.4,10.03,5.89,0.35,4.08,2.22,3.02,4.62,7.92,6.27,0.29,0.01,0.41,0.41,0.52,0.37,3.03,0.69,-0.33,29700,7540,10.99,1.83,14.01,5.3,96.62,8.47,0.31,0.113,2.75,0,1,0.66,0.15,64.68,4.12,20.81,3.61,6.57,0.44,2345
600561,公共交通,2019Q3,20191030,20020716,2.37,0,0,61.3,14.21,3.55,71.02,14.24,24.37,12.14,36.59,1.17,3.32,4.79,17.85,16.95,0.46,0.01,0.53,0.22,0.05,-0.57,5.33,1.97,0.32,13859,12366,6.58,-69.85,-10.62,0.89,6.4,0.71,0.55,0.022,5.99,0,2.02,2.25,0.83,23.18,0.37,5.05,2.6,0.3,0,16301
600280,百货,2019Q3,20191030,20000926,11.48,0,0,152.33,13.75,0.38,90.73,101.42,38.67,3.74,126.7,71.46,0.09,0.4,56.72,45.24,0.37,0.08,0.1,-0.6,-0.57,-0.38,-1.69,2.56,-2.15,48849,10341,2.36,-177.37,-5.09,1.9,10.21,0.46,0,-0.05,1.2,0,0.03,-0.15,0.22,9.02,-4.14,20.24,0.65,-1,0,4283
300178,旅游服务,2019Q3,20191030,20110215,6.17,0,0,91.67,26.99,3.45,66.8,65.72,3.81,4.56,58.83,0,7.7,11.02,31.68,27.86,-1.21,-0.04,-1.2,-1.47,-1.34,-1.35,8.66,-4.28,-6.02,43221,8331,3.56,-145.75,-29.25,0.98,-6.15,0.83,0.59,-0.218,4.38,0,1.79,1.4,-0.69,29.44,-4.98,12.05,-3.83,-4.24,0.09,2364
300350,仓储物流,2019Q3,20191030,20120821,4.77,0,0,19.8,9.96,1.77,40.77,12.38,1.73,0.45,7.26,3.33,7.11,7.11,4.82,3.36,0.49,0,0.51,0.42,0.2,0.14,-2.36,0.56,0.12,21406,11619,5.17,-71.47,-31.8,2.13,37.91,4.4,0,0.043,2.09,0,1.49,-0.49,0.12,50.3,2.05,30.26,10.11,4.23,0.31,1536
603555,服饰,2019Q3,20191030,20140124,6.29,0,0,48.84,15.33,0.1,68.42,25.23,5.02,2.21,33.04,5.64,14.21,9.19,11.69,7.59,-1.49,-0.01,-1.51,-1.67,-1.66,-2,-3.99,-3.13,-0.21,17804,7807,3.04,-1134.18,-49.2,1.6,-7.83,2.1,0,-0.264,2.44,0,1.46,-0.63,-0.5,31.38,-10.83,35.06,-12.72,-14.2,0.33,4525
600175,综合类,2019Q3,20191030,19990408,35.76,0,0,148.19,96.35,3.24,32.8,46.46,2.06,0.19,39.35,9.93,3.88,64.07,27.52,24.57,-2.98,-0.35,-2.92,-2.81,-2.1,-1.53,-6.81,0.74,-2.61,137210,15198,2.34,-244.17,-42.16,0.57,74.19,2,0,-0.059,2.69,0,1.79,-0.19,0.02,65.02,-2.18,10.73,-10.84,-7.62,0.56,1618
002055,元器件,2019Q3,20191030,20060725,4.8,0,0,101.96,27.48,3.72,69.4,64.95,12.86,6.53,60.59,20.53,19.45,12.94,49.97,42.39,0.39,0.62,0.35,0.33,0.48,0.25,10.07,4.27,-1.2,45030,5874,6.75,-45.17,-6.86,2.01,12.92,1.1,0.47,0.1,5.73,0,2.7,2.1,0.89,26.95,1.75,15.16,0.78,0.96,1.44,11065
600358,旅游服务,2019Q3,20191030,20000922,5.05,0,0,7.98,4.51,1.05,30.34,5.43,0.25,0.04,2.42,0.14,1.87,3.55,2.56,1.94,0.19,0.01,0.19,0.13,-0.02,-0.04,-4.09,-0.83,-0.61,41089,8724,3.38,86.89,30.59,4.35,-23.71,7.66,0,-0.004,0.89,0,0.7,-0.81,-0.16,56.47,-0.49,24.03,7.26,-0.86,0,148
000150,医疗保健,2019Q3,20191030,20000807,8.78,0,0,81.13,24.18,1.13,68.8,27.49,6.95,6.59,43.33,1.99,11.74,3.25,13.91,11.01,0.06,0.09,0.05,0.16,0.03,0.01,11.17,-0.49,0.06,43886,8700,3.69,-98.74,-16.88,1.54,-76.21,2.67,0,0.003,2.75,0,0.37,1.27,-0.06,29.8,0.11,20.86,0.47,0.19,0,13668
603888,互联网,2019Q3,20191030,20161028,5.19,0,0,40,28.25,0,29.36,31.35,2.58,0.19,4.09,0.03,6.92,14.99,9.24,5.68,1.37,-0.05,1.59,1.57,1.57,0.59,6.5,-0.84,-7.08,41108,4571,12.73,-10.1,-4.35,5.12,-171.5,15.64,0.8,0.302,5.44,0,2.89,1.25,-0.16,70.64,5.55,38.49,14.87,16.97,0.36,1916
603959,建筑工程,2019Q3,20191030,20160517,4.39,0,0,33.25,11.41,0.06,65.49,24.54,0.44,1.31,21.75,5.94,10.19,0.55,9.01,6.58,0.72,0.07,0.75,0.65,0.65,0.61,5.9,-2.62,-0.75,13406,13427,11.43,-28.38,62.77,3.27,-14.27,4.15,0.72,0.148,2.6,0,0.13,1.34,-0.6,34.32,5.68,26.95,7.97,7.2,0.47,622
000687,通信设备,2019Q3,20191030,19970221,7.66,0,0,33.51,8.58,0.32,73.43,19.93,2.19,0.79,24.52,3.81,13.78,8.98,4.42,3.82,-1.65,-0.02,-1.44,-1.44,-1.36,-1.53,-7.53,-1.36,-0.32,62757,6495,3.96,-371.25,-69.67,5.44,-34.42,10.57,0,-0.178,1.12,0,1.17,-0.98,-0.18,25.61,-15.86,13.58,-37.4,-30.83,0.66,894
002447,互联网,2019Q3,20191030,20100713,14.27,0,0,17.73,16.04,-0.02,9.65,5.21,3.53,0.3,0.35,0.04,1.64,1.62,0.69,0.34,0.01,0,0.01,0.01,0.01,-0.07,-0.08,0.03,-0.13,98802,9767,2.69,-98.95,-67.77,2.45,1275.77,56.99,0,0,1.12,0,0.11,-0.01,0,90.47,0.04,51.3,0.86,1,0.03,88
000995,白酒,2019Q3,20191030,20000807,1.77,0,0,2.51,-2.52,0.01,199.81,1.08,0.54,0.89,4.47,0.87,0.02,3.06,0.4,0.13,-0.11,0,-0.14,-0.14,-0.14,-0.15,-7.41,-0.27,0.03,10275,10447,0,66.72,316.44,0,0,0,0,-0.079,-1.42,0,1.73,-4.18,-0.15,-100.19,-- ,68.05,-29,-35.24,0,390
600074,IT设备,2019Q3,20191030,19970623,24.38,0,0,6.9,-53.59,0.8,864.68,4.43,1.69,0.54,59.43,1.47,0.16,7.12,1.06,0.66,-2.91,0.1,-3.12,-3.11,-3.12,-3.09,-82.54,-0.27,-0.1,92835,11052,0,14.92,-8.32,0,0,0,0,-0.128,-2.2,0,0.29,-3.39,-0.01,-776.23,-- ,37.35,-274.22,-294.4,0.04,442
300216,医疗保健,2019Q3,20191030,20110511,3.61,0,0,23.66,-22.68,0.36,194.32,9.58,4.17,4.69,41.58,3.16,4.25,2.24,1.47,1.19,-4.79,-0.03,-4.86,-4.86,-4.73,-4.67,-29.24,0.01,-0.04,48186,5772,0,-17.28,-15.83,0,0,0,0,-1.309,-6.28,0,0.62,-8.09,0,-95.86,-- ,19.37,-325.68,-321.83,0.1,926
600789,化学制药,2019Q3,20191031,19970226,8.8,0,0,70.58,30.07,1.5,55.27,27.59,22.3,3.72,27.62,8.59,5.16,16.25,27.31,19.61,1.13,0.08,1.23,1.07,1.02,0.66,3.51,0.39,-0.05,112796,5906,6.73,-29.42,15.07,3.33,254.46,3.67,0.3,0.115,3.42,0,1.85,0.4,0.04,42.61,3.38,28.21,4.13,3.72,1.01,6232
000518,生物制药,2019Q3,20191031,19930908,10.3,0,0,8.95,6.09,0.46,26.81,7.3,0.83,0.42,2.4,5.58,1.26,0.36,2.86,0.75,0.16,0,0.16,0.12,0.09,0.05,-4.95,0.11,-0.06,85978,9268,5.09,200.91,1.56,9.29,530.26,19.78,0,0.009,0.59,0,0.03,-0.48,0.01,68.04,1.56,73.85,5.49,3.32,0.31,314
000652,批发业,2019Q3,20191031,19961128,14.76,0,0,356.84,45.06,11.19,84.24,264.21,4.18,27.64,249.89,152.79,53.19,6.86,107.02,102.08,0.51,1.82,0.58,0.67,1,0.69,18.13,26.42,0.12,98597,10016,5.09,37.54,0.14,1.66,2.84,0.7,0.87,0.067,3.05,0,0.46,1.23,1.79,12.63,2.21,4.62,0.48,0.93,0.03,1244
002030,生物制药,2019Q3,20191031,20040809,7.97,0,0,40.77,23.49,4.25,31.96,20.13,2.94,0.96,11.53,2.05,7.11,6.82,7.68,3.72,0.86,-0.07,0.86,0.68,0.8,0.69,2.81,1.96,-1.27,81401,6239,9.3,2.18,-35.27,5.06,60.8,15.48,0.3,0.101,2.95,0,0.86,0.35,0.25,57.61,3.41,51.49,11.15,10.44,0.56,926
600587,医疗保健,2019Q3,20191031,20020927,4.06,0,0,128.78,41.5,5.28,63.68,59.06,23.36,6.02,72.97,24.56,18.46,16.63,63.15,49.41,10.12,9.34,10.12,8.11,8.02,0.23,19.69,4.42,-2.22,37116,7720,12.98,422.08,-12.92,1.65,15.46,1.08,0.28,1.974,10.21,0,4.09,4.84,1.09,32.22,19.34,21.76,16.02,12.71,1.17,6280
002711,仓储物流,2019Q3,20191031,20140127,10.56,0,0,7.1,-26.04,0.69,456.97,1.99,1.82,2.04,9.59,0.25,0.27,0.01,1.38,1.28,-0.92,0,-0.92,-0.91,-0.9,-0.9,-37.64,-0.18,-0.07,38291,13312,1.58,-154.2,-96.72,-0.48,-69.29,9.08,0,-0.085,-2.47,0,0,-3.56,-0.02,-366.65,-- ,7.39,-66.66,-65.07,0.01,854
600179,仓储物流,2019Q3,20191031,19981104,14.87,0,0,107.05,24.53,0.12,76.97,37.05,58.38,1.44,46.23,0.65,12.96,1.32,40.6,47.16,-9.17,0,-9.18,-9.36,-9.35,-10.83,9.74,3.13,-2.46,25225,20030,9.05,-282.86,-44.78,2.74,21.48,1.66,0,-0.629,1.65,0,0.09,0.65,0.21,22.92,-38.12,-16.17,-22.6,-23.04,0.06,1604
