代码,细分行业,财报年度,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收帐款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,调整后净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数
600330,元器件,2019Q3,20191018,20010118,9.97,0,0,64.69,40.25,0.64,36.77,28.62,20.54,1.92,18.72,8.22,10.34,24.58,18.97,14.37,1.78,-0.01,1.76,1.47,1.47,0.79,5.52,-1.25,-2.67,76052,9785,8.56,-37.11,-0.58,2.17,-69.68,4.6,0.52,0.147,4.04,0,2.47,0.55,-0.13,62.23,3.64,24.24,9.38,7.73,1.2,4482
002127,互联网,2019Q3,20191018,20070418,24.55,0,0,48.06,42.51,0,11.56,33.22,0.02,5.61,5.55,0.05,9.76,14.75,26.47,18.75,6.29,0.23,6.46,6.02,6.02,5.66,23.78,2.92,-8.74,17713,92534,94.94,33.96,29.45,5.93,86.28,9.51,0,0.245,1.73,0,0.6,0.97,0.12,88.44,14.16,29.18,23.74,22.74,0.28,584
002876,元器件,2019Q3,20191018,20170525,1.04,0,0,23.73,9.02,0.03,61.86,15.77,3.92,0.66,11.92,5.17,5.89,3.42,10.42,8.76,0.35,0,0.37,0.23,0.24,0.15,4.05,-1.09,-1.59,6276,9124,45.39,4.01,61.34,5.74,-47.27,4.97,0.06,0.227,8.67,0,3.29,3.89,-1.05,38.01,2.62,15.91,3.37,2.27,0.33,1739
600423,农药化肥,2019Q3,20191019,20030717,7.99,0,0,20.58,17.04,-0.25,18.4,5.96,14.1,0.13,2.62,2.03,0.68,18.86,2.82,3.07,-4.75,0,-4.9,-4.9,-4.83,-3.51,-10.6,-2.58,-3.91,24345,21572,6.51,-474.6,-80.82,1.42,-9.35,8.56,0,-0.605,2.13,0,2.36,-1.33,-0.32,82.8,-28.37,-8.79,-168.39,-171.54,0.02,2243
300359,文教休闲,2019Q3,20191019,20140121,6.34,0,0,19.99,13.36,1.05,27.89,8.3,0.37,0.99,4.77,0.22,4.06,10.17,4.47,3.06,-0.11,0.08,-0.11,-0.09,-0.17,-0.26,-3.4,-0.45,-1.51,48917,7457,4.19,-392.27,-3.5,2.67,-78.64,7.98,0,-0.03,2.11,0,1.6,-0.54,-0.07,66.84,-1.3,31.45,-2.38,-3.89,0.23,1777
600549,小金属,2019Q3,20191019,20021107,14.06,0,0,231.3,72.44,22.23,59.07,112.38,63.63,10.21,108.79,51.7,25.74,31.55,127.24,107.19,3.38,1.11,3.3,2.52,1.09,0.14,22.01,10.24,0.35,92231,7867,9.83,-75.81,-10.01,2.44,17.17,1.38,1.18,0.077,5.13,5.13,2.24,1.57,0.73,31.32,1.5,15.76,2.66,0.86,6.45,13539
600829,医药商业,2019Q3,20191019,19940224,5.8,0,0,51.16,17.89,0,65.03,46.35,2.7,0.27,31.86,8.03,32.27,0,61.78,54.2,2.8,0,2.78,2.09,2.09,2.08,11.44,-3.08,-1.23,24163,6042,4.31,3.64,15.56,2.31,-13.43,0.67,0,0.361,3.09,0,0,1.97,-0.53,34.97,11.7,12.27,4.54,3.39,0,2483
000825,特种钢,2019Q3,20191019,19981021,56.96,0,0,685.54,316.82,3.23,53.31,207.75,441.02,2.46,279.3,78.35,14.31,67.72,533.19,469.95,19.09,1.4,19.22,18.06,18.46,17.98,162.71,9.75,-16.6,187174,11110,4.28,-54.53,-3.17,0.69,22.48,0.41,2.54,0.324,5.56,0,1.19,2.86,0.17,46.21,5.83,11.86,3.58,3.46,16.54,19468
600228,化工原料,2019Q3,20191019,19990119,2.41,0,0,2.67,0.58,0.72,51.44,1.42,0.75,0.1,1.03,0.11,0.2,3.37,3.3,2.76,0.04,0,0.04,0.02,-0.04,-0.04,-5.52,0.03,-0.2,14340,12523,7.65,-145.2,-18,25.47,426.63,4.47,0,-0.015,0.24,0,1.4,-2.29,0.01,21.69,-6.38,16.34,1.29,-1.12,0.11,175
000521,家用电器,2019Q3,20191019,19931018,10.45,1.63,0,148.18,50.28,1,65.39,112.29,20.3,8.3,89.75,17.25,22.06,26.84,130.41,106.11,1.03,-0.38,1.05,0.69,0.81,0.13,9.2,2.01,-5.75,64377,12217,4.04,23.03,-1.57,0.69,17.18,0.27,1.76,0.077,4.81,0,2.57,0.88,0.19,33.93,1.61,18.63,0.79,0.62,1.94,16520
600201,生物制药,2019Q3,20191019,19990115,11.26,0,0,56.09,47.92,1.99,11.01,28.13,7.39,3.43,4.13,2.45,7.33,8.81,8.48,3.15,2.67,0.29,2.66,2.56,2.48,2.42,24.67,1.25,-1.44,38335,25705,51.82,-63.52,-40.79,4.74,181.07,26.78,1.73,0.221,4.25,0,0.78,2.19,0.11,85.44,5.18,62.83,31.43,29.3,0.6,1512
002408,化工原料,2019Q3,20191019,20100518,17.75,0,0,140.18,75.97,6.42,41.23,59.55,45.24,14.2,52.98,8.64,17.84,21.93,240.46,226.87,6.36,0.04,6.44,5.43,5.24,4.75,32.73,5.94,2.14,40945,17849,12.42,-24.9,53.99,1.63,20.78,0.51,1.25,0.3,4.28,0,1.24,1.84,0.33,54.19,6.89,5.65,2.65,2.18,1.98,2132
601168,铜,2019Q3,20191019,20070712,23.83,0,0,441.53,97.76,42.55,68.22,181.23,129.77,54.62,171.76,32.78,1.96,53.28,223.09,194.27,12.61,-1.06,12.76,10.41,8.11,7.7,12.96,17.84,24.19,167717,9947,6.46,19.35,9.65,1.58,8.67,0.69,0,0.341,4.1,0,2.24,0.54,0.75,22.14,8.3,12.92,5.65,3.64,0.58,6497
000721,酒店餐饮,2019Q3,20191019,19970430,4.99,0,0,11.29,6.41,0.05,42.76,3.36,2.9,0.19,4.07,0.34,0.39,0.56,3.94,2.69,-0.25,0,-0.24,-0.24,-0.24,-0.24,0.33,-0.17,-1.52,60647,5385,2.14,-467.25,5.1,3.1,-117.94,5.04,0,-0.047,1.28,0,0.11,0.07,-0.03,56.78,-3.69,31.79,-6.26,-6.01,0,3414
002299,农业综合,2019Q3,20191019,20091021,12.39,0,0,142.03,91.7,0.01,35.43,32.06,95.99,2.13,47.05,16.22,7.55,41.83,103.11,69.39,28.29,0.09,27.98,27.32,27.05,27.05,33.98,34.66,-7.94,42642,10996,23.04,236.34,27.99,2.83,7.49,2.52,11.5,2.183,7.4,0,3.37,2.74,2.8,64.56,29.5,32.7,27.44,26.24,0.3,22507
000505,食品,2019Q3,20191019,19921221,6.86,0.65,0,51.32,23.58,5.79,42.76,29.67,12.41,3.74,20.16,9.93,0.96,15.96,51.08,46.93,1.48,0.1,1.49,1.11,0.85,0.69,-0.46,4.47,-4.13,38631,8996,4.92,-16.54,-7.79,1.59,8.4,0.73,0,0.124,3.44,0,2.33,-0.07,0.65,45.95,3.62,8.12,2.91,1.67,0.01,2990
000610,旅游服务,2019Q3,20191019,19960926,2.37,0,0,11.68,8.68,0.03,25.42,5.64,2.01,0.75,2.85,0.01,0.4,3.95,6.55,6.21,-0.1,0.07,-0.07,-0.07,-0.05,-0.1,1.81,-0.47,-1.5,57618,2962,2.35,57.04,4.89,2.17,-39.97,2.87,0.28,-0.019,3.67,0,1.67,0.77,-0.2,74.34,-0.52,5.2,-1.55,-0.69,0,779
002017,通信设备,2019Q3,20191019,20040713,4.46,0,0,20.88,13.86,0.04,33.43,17.3,1.99,0.03,6.28,4.78,2.22,5.08,8.2,6.14,0.35,-0.07,0.35,0.3,0.3,0.3,3.49,-0.69,2.91,81128,2996,4.16,-3.25,1.27,4.48,-90.04,7.57,0.21,0.066,3.1,0,1.14,0.78,-0.15,66.37,2.14,25.09,4.23,3.62,0.73,1952
002574,服饰,2019Q3,20191019,20110422,5.28,0,0,41.97,32.64,0.02,22.19,28.34,1.93,0.51,8.89,16.25,4.06,16.51,29.26,26.01,1.25,0.7,1.25,0.91,0.91,0.58,9.64,-0.03,3,30687,8106,4,6.93,-14.51,0.8,-842.82,0.89,0.97,0.172,6.18,0,3.13,1.83,-0.01,77.76,2.78,11.11,4.27,3.11,0.03,988
300276,专用机械,2019Q3,20191019,20111115,7.95,0,0,53.76,36.94,0.32,30.69,27.31,2.59,2.56,15.97,14.93,6.17,23.76,13.24,9.76,2.06,0,2.05,1.79,1.84,1.58,4.88,0.66,0.94,34470,7758,5.91,0.49,6.99,1.64,91.46,4.58,2.3,0.231,4.65,0,2.99,0.61,0.08,68.71,4.98,26.24,15.57,13.9,0.64,1735
600785,百货,2019Q3,20191019,19970108,2.26,0,0,53.27,22.96,-1.12,58.99,18.12,17.42,5.55,29.44,6.5,1.8,3.11,57.03,44.38,1.67,0.04,1.98,1.52,1.71,1.44,15.61,0.06,0.04,9978,7005,10.17,3.8,-0.15,1.43,559.91,0.57,0,0.756,10.18,0,1.38,6.92,0.03,43.11,7.43,22.19,2.93,2.99,0,8223
600729,百货,2019Q3,20191019,19960702,4.07,0,0,140.68,62.04,1.5,54.84,77.72,30.66,2.26,74.13,22.69,2.12,4.03,255.74,209.22,10.56,2.58,10.62,9.27,9.05,8.68,51.11,8.48,-2.4,14806,15081,41.78,17.66,-0.43,1.82,13.28,0.44,2.19,2.225,15.26,0,0.99,12.57,2.09,44.1,14.58,18.19,4.13,3.54,0.06,20801
300200,化工原料,2019Q3,20191019,20110407,2.67,0,0,18.22,16.07,0,11.8,8.61,2.26,0.29,2.04,0.88,1.73,10.73,7.32,4.19,1.73,0.07,1.72,1.4,1.4,1.39,2.28,2.46,-1.42,13525,8569,10.16,109.91,-4.64,1.97,12.83,4.32,1.65,0.524,6.03,0,4.03,0.85,0.92,88.2,8.7,42.68,23.65,19.1,0.41,652
300139,元器件,2019Q3,20191020,20101112,2.74,0,0,13.48,11.12,0.01,17.41,4.15,1.93,2.13,2.03,1.81,1.25,5.8,0.65,0.51,-0.4,0,-0.4,-0.43,-0.42,-0.43,1.48,-0.3,-0.68,45693,4561,3.93,-291.01,-61.29,2.12,-78.75,36.02,0,-0.152,4.06,0,2.12,0.54,-0.11,82.48,-3.75,21.38,-61.41,-63.73,0.07,142
002805,化工原料,2019Q3,20191021,20160707,1.45,0,0,8.95,5.95,0,33.52,3.78,3.47,0.32,2.69,1.65,1.47,1.1,3.36,2.81,0.22,0,0.22,0.18,0.18,0.13,2.98,-0.5,-0.51,13145,7367,9.93,10.27,70.49,3.29,-38.88,5.83,0.16,0.121,4.09,0,0.75,2.05,-0.35,66.48,2.96,16.24,6.57,5.24,0.03,469
603889,纺织,2019Q3,20191021,20141231,5.12,0,0,30.4,23.69,0.28,21.16,17.17,9.14,0.96,6.37,7.26,2.39,9.59,22.08,18.79,1.61,0.05,1.63,1.44,1.43,1.28,8.06,3.22,-0.18,12821,21717,12.55,-14.38,9.7,1.25,9.17,1.34,3.92,0.279,4.63,0,1.87,1.58,0.63,77.92,6.02,14.91,7.29,6.46,0.63,2572
002433,中成药,2019Q3,20191021,20100618,7.67,0,0,87.37,52.14,1.42,38.7,44.4,21.82,2.72,21.3,27.12,5,29.35,27.57,20.77,1.19,0.02,1.19,0.89,0.78,0.6,14.13,3.57,-1.99,51229,9695,4.46,-49.22,18.58,0.68,9.88,1.28,1.5,0.102,6.8,0,3.83,1.84,0.47,59.68,1.5,24.67,4.33,2.84,0.13,1887
002244,区域地产,2019Q3,20191021,20080529,31.11,0,0,1150.65,159.16,55.1,81.38,1051.24,5.71,1.35,742.33,678.3,4.47,22.66,99.39,59.41,24.56,3.47,24.42,18.37,8.61,8.62,94.87,61.81,44.38,43264,28797,12.67,21.83,-18.75,0.86,2.21,1.38,1.3,0.277,5.12,0,0.73,3.05,1.99,13.83,5.41,40.22,24.71,8.67,0,1248
300446,化工原料,2019Q3,20191021,20150423,1.84,0,0,6.99,6.59,0,5.8,4.9,0.86,0.47,0.23,0.48,0.82,0.11,1.98,0.8,0.9,0.04,0.9,0.77,0.77,0.74,4,0.54,-0.06,12863,9438,14.52,9.5,6.81,4.3,51.99,14.3,1.24,0.417,3.58,0,0.06,2.17,0.3,94.2,11.66,59.81,45.22,38.77,0.19,264
